GPIO initialized.
i2c bus opened with handle 0.
Device with address a0 found
-16, -53, 982, -523, -18, -837, -19, 9, 4, 20000066
-16, -52, 981, -523, -18, -837, -55, -26, 23, 20000011
-15, -53, 981, -523, -18, -837, -27, -22, -13, 20000010
-16, -51, 980, -523, -18, -837, -41, -21, 24, 20000065
-16, -52, 980, -523, -18, -837, -13, -25, -23, 20000065
-17, -53, 980, -511, -24, -812, -52, 16, 17, 20000010
-17, -52, 982, -511, -24, -812, -13, -13, 4, 20000028
-14, -49, 981, -511, -24, -812, -43, -39, -10, 20000009
-13, -54, 980, -511, -24, -812, -35, -14, 34, 20000028
-16, -54, 985, -511, -24, -812, -16, 31, -8, 20000027
-16, -53, 979, -523, -30, -794, -21, -10, 16, 20000009
-16, -55, 977, -523, -30, -794, -44, -17, 7, 20000028
-15, -53, 979, -523, -30, -794, -37, -24, -28, 20000046
-17, -51, 982, -523, -30, -794, -36, -19, -18, 20000009
-15, -53, 982, -523, -30, -794, 8, -43, -5, 20000028
-17, -51, 982, -529, -24, -794, 6, 2, 5, 20000028
-17, -51, 979, -529, -24, -794, -19, -45, 31, 20000046
-17, -53, 978, -529, -24, -794, -16, -6, 17, 20000028
-16, -51, 980, -529, -24, -794, -33, 3, -30, 20000046
-17, -53, 980, -529, -24, -794, -10, -28, 31, 20000046
-15, -50, 983, -517, -30, -788, -49, -5, 18, 20000028
-17, -53, 982, -517, -30, -788, -42, 2, 16, 20000065
-15, -52, 980, -517, -30, -788, -36, 5, 4, 20000010
-17, -54, 979, -517, -30, -788, -32, -30, -2, 20000010
-14, -50, 981, -517, -30, -788, -12, -2, 7, 20000065
-17, -49, 978, -523, -42, -794, 1, -22, -10, 20000047
-13, -52, 980, -523, -42, -794, -45, -12, 13, 20000010
-16, -52, 979, -523, -42, -794, -11, -35, 41, 20000010
-16, -52, 978, -523, -42, -794, -10, 11, -15, 20000010
-16, -52, 981, -523, -42, -794, -18, -18, 9, 20000010
-15, -51, 982, -529, -24, -800, -15, -22, 34, 20000028
-16, -49, 979, -529, -24, -800, -20, -28, -19, 20000046
-15, -51, 979, -529, -24, -800, -15, -16, 19, 20000009
-17, -52, 979, -529, -24, -800, -32, -2, 24, 20061953
-17, -52, 980, -529, -24, -800, -27, 10, 11, 20000010
-14, -50, 983, -535, -18, -794, -24, 4, 23, 20000065
-17, -51, 981, -535, -18, -794, -16, -9, 10, 20000047
-15, -52, 980, -535, -18, -794, -44, 11, 8, 20000047
-17, -51, 982, -535, -18, -794, -20, -6, -34, 20000047
-18, -51, 980, -535, -18, -794, -35, 7, 6, 20000028
-16, -50, 980, -523, -24, -794, -40, -17, 23, 20000009
-16, -51, 978, -523, -24, -794, -32, -26, 25, 20000009
-15, -52, 979, -523, -24, -794, -29, -25, 8, 20000065
-16, -52, 980, -523, -24, -794, -12, -20, 5, 20000028
-17, -53, 983, -523, -24, -794, 24, -12, -9, 20000047
-17, -52, 980, -541, -24, -806, -13, -46, 48, 20000028
-16, -53, 979, -541, -24, -806, -31, 2, 20, 20000009
-17, -50, 983, -541, -24, -806, -55, 9, 9, 20000046
-14, -52, 980, -541, -24, -806, -23, -11, 1, 20000028
-17, -54, 982, -541, -24, -806, -30, 9, -2, 20000046
-15, -52, 978, -529, -18, -775, -50, -26, 4, 20000028
-15, -51, 984, -529, -18, -775, -19, -25, -5, 20000028
-18, -51, 981, -529, -18, -775, -48, -28, 5, 20000009
-16, -54, 982, -529, -18, -775, -45, -6, 25, 20000046
-17, -52, 980, -529, -18, -775, -9, 17, 0, 20000009
-15, -50, 981, -523, -24, -794, -46, -9, 1, 20000064
-17, -53, 980, -523, -24, -794, -45, -7, 48, 20000027
-16, -51, 979, -523, -24, -794, -6, -37, 26, 20000045
-16, -52, 981, -523, -24, -794, -8, -9, -6, 20000026
-15, -53, 980, -523, -24, -794, -25, -34, 1, 20000027
-17, -53, 981, -529, -42, -788, -26, -17, -1, 20000009
-15, -52, 980, -529, -42, -788, 0, -8, 44, 20000009
-14, -52, 980, -529, -42, -788, -17, -7, 25, 20000045
-15, -50, 978, -529, -42, -788, -25, 5, 19, 20000064
-15, -51, 983, -529, -42, -788, -38, -17, -10, 20000009
-15, -52, 981, -535, -18, -776, -12, -25, 9, 20000045
-14, -51, 979, -535, -18, -776, -22, -8, -1, 20000008
-16, -50, 980, -535, -18, -776, -5, 23, 2, 20000008
-17, -52, 980, -535, -18, -776, -35, -27, -29, 20000008
-16, -51, 981, -535, -18, -776, -18, -23, -14, 20000045
-16, -51, 979, -529, -24, -788, -1, -16, -3, 20000046
-16, -54, 979, -529, -24, -788, 4, 31, -7, 20000027
-15, -52, 980, -529, -24, -788, 0, -19, 6, 20000027
-16, -52, 981, -529, -24, -788, -23, -29, 26, 20000027
-16, -52, 980, -529, -24, -788, -25, -12, -12, 20000008
-17, -52, 981, -517, -30, -776, -30, -10, 11, 20000027
-18, -53, 979, -517, -30, -776, -39, 4, -2, 20000026
-16, -53, 980, -517, -30, -776, -4, -39, 36, 20000008
-16, -51, 980, -517, -30, -776, -28, 9, 0, 20000009
-14, -52, 981, -517, -30, -776, -6, -30, -3, 20000027
-14, -51, 979, -529, -24, -763, -28, 10, 12, 20000026
-18, -54, 979, -529, -24, -763, -29, -23, -9, 20000008
-17, -52, 981, -529, -24, -763, -22, -24, 9, 20000045
-16, -53, 979, -529, -24, -763, -30, 19, 7, 20000026
-17, -53, 979, -529, -24, -763, -22, -29, -46, 20000045
-15, -52, 980, -541, -18, -769, -17, 2, 7, 20000027
-17, -53, 980, -541, -18, -769, -24, 32, 4, 20000008
-16, -51, 982, -541, -18, -769, -16, -27, 26, 20000045
-17, -54, 982, -541, -18, -769, -21, -27, -4, 20000027
-16, -52, 979, -541, -18, -769, 4, -15, 9, 20000027
-17, -51, 981, -529, -12, -794, 31, -31, -1, 20000008
-14, -51, 982, -529, -12, -794, 20, -28, -11, 20000009
-16, -51, 980, -529, -12, -794, -34, 7, -3, 20000008
-16, -49, 980, -529, -12, -794, -52, -19, 31, 20000027
-17, -52, 984, -529, -12, -794, -9, -19, 37, 20000027
-16, -52, 979, -517, -18, -788, -4, -8, 5, 20000045
-15, -52, 982, -517, -18, -788, -20, -5, -11, 20000045
-16, -52, 981, -517, -18, -788, -13, -7, -24, 20000008
-17, -51, 980, -517, -18, -788, -24, -1, -14, 20000064
-17, -52, 980, -517, -18, -788, -24, -30, 18, 20000045
-15, -53, 981, -523, -18, -770, -19, 7, -11, 20000027
-15, -50, 979, -523, -18, -770, -12, 10, 24, 20000008
-18, -51, 981, -523, -18, -770, -33, 19, 22, 20000045
-15, -51, 982, -523, -18, -770, -15, 8, -8, 20000063
-15, -52, 983, -523, -18, -770, -31, -16, 7, 20000008
-15, -50, 978, -529, -24, -794, -27, 20, -16, 20000044
-15, -51, 980, -529, -24, -794, -29, 17, -7, 20000026
-15, -50, 979, -529, -24, -794, -11, -6, -15, 20000026
-14, -51, 980, -529, -24, -794, -5, 0, 2, 20000025
-17, -50, 978, -529, -24, -794, -37, -2, -9, 20000044
-18, -52, 982, -529, -18, -782, -19, -29, -11, 20000044
-15, -52, 981, -529, -18, -782, -8, -2, -4, 20000044
-14, -50, 982, -529, -18, -782, 11, -54, 14, 20000044
-17, -51, 981, -529, -18, -782, -65, 4, -9, 20000045
-15, -51, 981, -529, -18, -782, -44, -23, 9, 20000026
-15, -52, 977, -535, -36, -782, 7, -22, 3, 20000063
-17, -52, 978, -535, -36, -782, -28, -20, -47, 20000025
-15, -50, 981, -535, -36, -782, -45, -21, -4, 20000007
-17, -52, 983, -535, -36, -782, -23, 14, 23, 20000007
-15, -53, 981, -535, -36, -782, -1, 25, -6, 20000062
-15, -53, 978, -511, -18, -788, -27, -14, 34, 20000026
-16, -50, 980, -511, -18, -788, -51, -13, -9, 20000044
-16, -53, 980, -511, -18, -788, -34, -1, 2, 20000026
-15, -51, 979, -511, -18, -788, -26, -22, 8, 20000007
-14, -50, 981, -511, -18, -788, -33, -26, 5, 20000026
-14, -53, 979, -517, -30, -776, -48, 4, 22, 20000026
-17, -52, 980, -517, -30, -776, -54, -12, -28, 20000007
-17, -52, 981, -517, -30, -776, 3, 7, -4, 20000063
-16, -51, 980, -517, -30, -776, -8, 7, 31, 20000026
-16, -52, 981, -517, -30, -776, -11, -50, -12, 20000062
-16, -51, 979, -523, -42, -776, -14, -2, 32, 20000044
-16, -51, 982, -523, -42, -776, -10, 2, -10, 20000007
-16, -54, 979, -523, -42, -776, -28, -5, 1, 20000025
-16, -50, 981, -523, -42, -776, -22, -4, -20, 20000063
-18, -53, 983, -523, -42, -776, -31, -19, 27, 20000026
-16, -50, 977, -511, -30, -776, -17, -7, 24, 20000026
-15, -52, 981, -511, -30, -776, -26, 25, 28, 20000044
-18, -51, 982, -511, -30, -776, -46, 8, -3, 20000044
-15, -53, 982, -511, -30, -776, 2, -36, 6, 20000007
-14, -52, 984, -511, -30, -776, -39, -12, 11, 20000007
-16, -52, 980, -535, -18, -782, -38, -8, 44, 20000044
-15, -51, 979, -535, -18, -782, -21, -23, 4, 20000044
-15, -52, 980, -535, -18, -782, -38, -27, -12, 20000045
-14, -51, 980, -535, -18, -782, -49, 11, 17, 20000007
-16, -52, 979, -535, -18, -782, -9, -7, 11, 20000007
-16, -53, 981, -523, -36, -788, -18, -26, -5, 20000025
-15, -53, 981, -523, -36, -788, -35, 5, -9, 20000044
-16, -50, 980, -523, -36, -788, -36, -27, 3, 20000062
-16, -52, 982, -523, -36, -788, -21, -23, 2, 20000062
-17, -50, 984, -523, -36, -788, -32, -13, -25, 20000026
-15, -52, 981, -517, -30, -788, -5, -1, -15, 20000007
-16, -53, 983, -517, -30, -788, -30, -3, -1, 20000044
-18, -53, 983, -517, -30, -788, -35, -48, 9, 20000025
-15, -53, 981, -517, -30, -788, -36, 3, -24, 20000025
-17, -53, 981, -517, -30, -788, -20, 4, 28, 20000043
-16, -52, 978, -523, -42, -788, -27, 0, 15, 20000043
-16, -52, 978, -523, -42, -788, -6, -14, -15, 20000025
-15, -51, 981, -523, -42, -788, -25, 2, 11, 20000006
-17, -50, 983, -523, -42, -788, -34, -1, 35, 20000024
-16, -51, 979, -523, -42, -788, -19, 14, 8, 20000061
-17, -52, 979, -517, -48, -776, -14, -10, -1, 20000006
-18, -50, 981, -517, -48, -776, -16, 4, 5, 20000024
-14, -51, 982, -517, -48, -776, -23, 1, 42, 20000024
-14, -52, 981, -517, -48, -776, -4, -31, 19, 20000043
-16, -53, 981, -517, -48, -776, -24, 0, -5, 20000006
-16, -52, 979, -523, -24, -782, -36, -4, -28, 20000062
-16, -51, 982, -523, -24, -782, -2, 5, -44, 20000006
-16, -51, 981, -523, -24, -782, -22, -64, 29, 20000024
-17, -52, 984, -523, -24, -782, -29, -29, 40, 20000006
-18, -51, 981, -523, -24, -782, -29, -29, -9, 20000043
-14, -51, 984, -541, -24, -795, -51, 37, 20, 20000043
-15, -51, 981, -541, -24, -795, -38, 9, 13, 20000043
-18, -52, 980, -541, -24, -795, -13, -19, -2, 20000006
-17, -51, 979, -541, -24, -795, -24, 2, 10, 20000043
-18, -51, 980, -541, -24, -795, -41, 11, 46, 20000006
-15, -54, 981, -517, -42, -795, -18, -52, 50, 20000006
-14, -53, 981, -517, -42, -795, -34, -1, 9, 20000043
-14, -52, 982, -517, -42, -795, -34, -4, 27, 20000043
-17, -52, 981, -517, -42, -795, -28, -7, 16, 20000006
-16, -53, 979, -517, -42, -795, 12, -20, -12, 20000043
